"编号","开始答题时间","结束答题时间","QQ","微信标识","自定义字段","1.您所在的医疗机构名称：____:1[题目填空]","2.您所在医疗机构级别是？","2.您所在医疗机构级别是？[选项填空]","3.您所在的科室名称：____:1[题目填空]","4.您的性别是？","5.您的出生年份是？","6.您的婚姻状况是？","6.您的婚姻状况是？[选项填空]","7.是否是在编员工？","8.您的行政职务是？","8.您的行政职务是？[选项填空]","9.您的技术职称是？","10.您的最高学历是？","11.您的学位是？","12.您从事护理工作的年限是：____年:1[题目填空]","13.您从事感染性疾病护理工作的年限是：____年:1[题目填空]","14.您现在的平均月收入是？","15.您期望的月收入是？","16.目前您享有以下哪些福利？:养老保险","16.目前您享有以下哪些福利？:医疗保险","16.目前您享有以下哪些福利？:工伤保险","16.目前您享有以下哪些福利？:失业保险","16.目前您享有以下哪些福利？:生育保险","16.目前您享有以下哪些福利？:住房补贴","16.目前您享有以下哪些福利？:交通补贴","16.目前您享有以下哪些福利？:子女教育的优惠政策","16.目前您享有以下哪些福利？:其他____","16.目前您享有以下哪些福利？:其他____[选项填空]","17.您觉得在这里工作生活方便吗？","18.您感觉科室的专业设备和材料能满足您的工作需要吗？","19.2016年您接受感染性疾病护理专业业务培训的次数____次，累计天数是：____天:1[题目填空]","19.2016年您接受感染性疾病护理专业业务培训的次数____次，累计天数是：____天:2[题目填空]","20.您认为您获得的培训机会","21.您是否参加过上级医院感染性疾病科的进修学习？","22.您是否参加过感染性疾病专科护士的培训并获得专科护士证书？","23.您是否了解感染性疾病岗前培训制度？","24.您所在的单位对感染性疾病护理人员的培训","25.您认为总体上您所参加的感染性疾病专业培训效果","26.您认为随着新发传染病的增加，您获得的专业培训数量是否增加？","27.您认为随着新发传染病的增加，您获得的专业培训质量是否提高？","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:时间太短","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:缺乏实践","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:重视不够","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:课程内容太多","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:重点不突出","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:形式化气氛太浓","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:学非所用","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:没有书本与讲义","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:培训速度太快","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:其他____","28.在您参加过的感染性疾病专业培训中，您认为存在的主要问题有（最多选3项）：:其他____[选项填空]","29.对您来说，最适宜的培训方式是？","29.对您来说，最适宜的培训方式是？[选项填空]","30.您感觉在本单位职业发展（晋升、提拔等）的机会如何？","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:1[题目填空]","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:2[题目填空]","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:3[题目填空]","31.2016年您共获得____项荣誉。其中院级____项；市级____项；省级及以上____项。:4[题目填空]","32.您与身边同事的关系如何？","33.您和您的上级领导关系如何？","34.您认为当地群众对您的尊重程度如何？","35.您认为您所在单位总体上的管理制度（奖惩制度、领导管理水平等）如何？","36.您平均每天的工作____小时，您平均每周工作____天，您平均每月在单位值夜班____个。:1[题目填空]","36.您平均每天的工作____小时，您平均每周工作____天，您平均每月在单位值夜班____个。:2[题目填空]","36.您平均每天的工作____小时，您平均每周工作____天，您平均每月在单位值夜班____个。:3[题目填空]","37.您觉得您的工作量如何？","38.您对您目前的收入状况满意吗？","39.您对单位提供的福利情况满意吗？","40.您对您单位的生活环境满意吗？","41.您对您单位的工作条件满意吗？","42.您对获得的培训机会满意吗？","43.您对在您单位职业发展（晋升、提拔等）的机会满意吗？","44.您对荣誉或精神奖励的机会满意吗？","45.您对科室内部的人际关系（与同事、与领导的关系）满意吗？","46.您对当地群众对您工作的尊重和认可情况满意吗？","47.您对单位总体上的管理制度（奖惩制度、领导管理水平等）满意吗？","48.您对目前的工作量满意吗？","49.总体来说，您的工作满意度如何？","50.1:我感到工作对我的情绪影响很大","50.2:下班后，我感到筋疲力尽","50.3:清晨起床后，我觉得十分疲劳，但必须面对新的一天","50.4:我很容易理解病人的感受","50.5:有时我觉得自己对待病人象无生命的物体","50.6:整天与人打交道，使我觉得紧张不安","50.7:我能很好地处理病人的问题","50.8:工作使我感到疲倦","50.9:我觉得工作使我能从正面影响或改善他人的生活","50.10:做护士后，我觉得自己变得麻木不仁","50.11:我担心工作会使我变得冷酷","50.12:我感到精力充沛","50.13:工作使我觉得沮丧","50.14:我感到自己在工作中付出太多","50.15:我会对某些病人漠不关心","50.16:直接与人打交道很容易产生压力","50.17:我很容易与病人建立融洽的关系","50.18:与病人密切接触我觉得很愉快","50.19:我觉得自己在工作中已做出了很多成绩","50.20:我感到自己已智穷力竭","50.21:在工作中，我能很平静地处理情绪问题","50.22:有时我觉得是病人本身的问题，他反倒来责备我","51.[图片]您更喜欢以上哪份工作？","52.[图片]您更喜欢以上哪份工作？","53.[图片]您更喜欢以上哪份工作？","54.[图片]您更喜欢以上哪份工作？","55.[图片]您更喜欢以上哪份工作？","56.[图片]您更喜欢以上哪份工作？","57.您会主动学习新的专业知识，提高自己的能力吗？","58.最近一段时间，您在工作中有没有感到压力？","59.您目前有没有离开本岗位，到其它岗位工作的想法？","60.您认为您的工作非常重要和有意义吗？",
"3","2017-08-07 10:27:57","2017-08-07 10:40:51","","o86_0jkICxJcOfVeyVj2AVZ0PYxk___冬之梅","","临沂市人民医院","A.三级综合医院","","感染科二病区","B.女","AL.1974年","B.已婚","","A.是","A.护士长","","B.副主任护师","B.本科","A.学士学位","23","22","D.7000元及以上","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","G.交通补贴","","","","D.比较方便","D.大部分时候能","3","22","D.较多","A.是","B.否","A.是","E.非常重视","D.比较好","A.是","A.是","A.时间太短","B.缺乏实践","","","","","","","","","","B.在岗培训","","C.一般","1","","","1","E.非常融洽","E.非常融洽","D.比较尊重","C.一般","9","6","1","E.非常多","C.一般","B.不满意","D.比较满意","D.比较满意","C.一般","C.一般","C.一般","D.比较满意","C.一般","C.一般","C.一般","D.比较满意","2","2","2","7","1","2","6","2","6","1","1","7","2","3","1","2","7","6","4","2","5","2","B.工作2","A.工作1","B.工作2","A.工作1","B.工作2","B.工作2","D.大部分时候会","C.一般","D.有些想要","C.一般",
"4","2017-08-07 10:34:18","2017-08-07 10:43:17","","o86_0jnTKd1AldcR_v51CIU1-I6k___有有有。","","山东省立医院","A.三级综合医院","","保健消化","B.女","W.1989年","A.未婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","6","2","C.5000-7000元","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","E.非常方便","E.总是能","3","5","D.较多","A.是","B.否","A.是","E.非常重视","E.非常好","A.是","A.是","","","","","","","","H.没有书本与讲义","I.培训速度太快","","","B.在岗培训","","E.很多","1","1","","","E.非常融洽","E.非常融洽","E.非常尊重","E.非常好","10","5","5","E.非常多","C.一般","C.一般","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","E.非常满意","2","4","4","7","1","1","7","2","7","2","2","7","1","1","1","1","7","7","7","2","7","4","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","A.工作1","B.有时候会","C.一般","A.很不想要","E.非常重要",
"5","2017-08-07 10:31:39","2017-08-07 10:43:58","","o86_0jtluz5pkYrvKL1bbH1_u9C4___最美的时光在路上","","解放军第89医院","A.三级综合医院","","骨科","B.女","AF.1980年","B.已婚","","A.是","A.护士长","","C.主管护师","B.本科","A.学士学位","15","5","C.5000-7000元","D.9000元及以上","","B.医疗保险","","","","","","","","","D.比较方便","C.一般","5","30","C.一般","B.否","B.否","B.否","C.一般","B.不太好","A.是","A.是","","","C.重视不够","","E.重点不突出","","","","","","","B.在岗培训","","C.一般","2","","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","","E.非常多","D.比较满意","C.一般","D.比较满意","D.比较满意","D.比较满意","C.一般","D.比较满意","E.非常满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","2","2","2","3","2","2","3","2","2","1","1","2","1","2","1","1","1","2","3","1","3","2","B.工作2","A.工作1","B.工作2","A.工作1","B.工作2","B.工作2","E.总是会","C.一般","C.一般","D.重要",
"6","2017-08-07 10:52:54","2017-08-07 10:59:28","","o86_0jsTTP1lGkMS86Fjbfe3def4___天天","","山东省立医院","A.三级综合医院","","保健消化","B.女","Z.1986年","B.已婚","","B.否","C.无","","C.主管护师","B.本科","A.学士学位","10","1","C.5000-7000元","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","B.不太方便","D.大部分时候能","3","3","D.较多","B.否","B.否","A.是","D.比较重视","D.比较好","A.是","A.是","A.时间太短","","","","","","","","","","","C.进修","","B.较少","","","","","E.非常融洽","E.非常融洽","D.比较尊重","D.比较好","8","5","5","D.比较多","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","C.一般","D.比较满意","C.一般","C.一般","C.一般","C.一般","3","3","2","3","1","2","3","3","3","1","1","3","3","3","1","3","3","3","2","2","3","3","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","D.大部分时候会","D.压力较大","B.不太想要","D.重要",
"7","2017-08-07 10:54:58","2017-08-07 11:03:49","","o86_0jqtxUKuzrYw9EEAWGFKmfWQ___艳子","","中国人民解放军第89医院","A.三级综合医院","","内分泌风湿免疫科","B.女","AD.1982年","B.已婚","","A.是","A.护士长","","C.主管护师","B.本科","A.学士学位","10","","C.5000-7000元","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","H.子女教育的优惠政策","","","E.非常方便","D.大部分时候能","2","2","C.一般","B.否","B.否","A.是","D.比较重视","D.比较好","B.否","A.是","A.时间太短","","","","","","","","","","","B.在岗培训","","D.较多","1","1","","","D.比较融洽","D.比较融洽","D.比较尊重","D.比较好","8","5","","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","2","1","1","7","1","1","7","1","7","1","1","7","1","2","1","1","7","5","2","1","7","6","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.工作2","D.大部分时候会","C.一般","D.有些想要","C.一般",
"8","2017-08-07 11:01:19","2017-08-07 11:13:54","","o86_0ju6PctARS2-SozV78-Ceo4E___张欣","","山东省立医院","A.三级综合医院","","感染性疾病科病房","B.女","AO.1971年","B.已婚","","A.是","A.护士长","","C.主管护师","B.本科","A.学士学位","28","12","D.7000元及以上","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","G.交通补贴","","","","E.非常方便","D.大部分时候能","12","2","B.较少","B.否","B.否","A.是","D.比较重视","D.比较好","A.是","A.是","A.时间太短","B.缺乏实践","","D.课程内容太多","","","","","","","","B.在岗培训","","C.一般","4","2","","2","D.比较融洽","D.比较融洽","C.一般","D.比较好","9","45","","E.非常多","B.不满意","C.一般","D.比较满意","C.一般","C.一般","B.不满意","C.一般","D.比较满意","C.一般","C.一般","C.一般","C.一般","1","4","5","7","1","2","7","5","6","2","1","6","2","6","1","2","3","3","2","2","6","2","B.工作2","B.工作2","B.工作2","B.工作2","B.工作2","B.工作2","D.大部分时候会","D.压力较大","D.有些想要","C.一般",
"9","2017-08-07 11:00:59","2017-08-07 11:14:29","","o86_0jqI-l5AX7AbtWocGAiVvR6E___菟丝草","","解放军89医院","A.三级综合医院","","大内科","B.女","AI.1977年","B.已婚","","A.是","C.无","","D.护师","A.大专及以下","A.学士学位","20","20","B.3000-5000元","B.5000-7000元","A.养老保险","B.医疗保险","","D.失业保险","","","","","","","E.非常方便","C.一般","3","1","B.较少","B.否","B.否","A.是","C.一般","C.一般","A.是","A.是","","","C.重视不够","","","F.形式化气氛太浓","","H.没有书本与讲义","","","","B.在岗培训","","A.很少或没有","","","","","E.非常融洽","B.不融洽","D.比较尊重","B.不太好","7","5","12","C.一般","C.一般","A.非常不满意","D.比较满意","C.一般","B.不满意","A.非常不满意","A.非常不满意","D.比较满意","D.比较满意","B.不满意","D.比较满意","C.一般","2","2","1","2","1","1","3","1","3","1","1","2","1","2","1","3","3","1","1","1","2","1","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.工作2","B.有时候会","B.压力较小","B.不太想要","C.一般",
"10","2017-08-07 11:01:54","2017-08-07 11:17:26","","o86_0jklvJaUB5-ewBUR0fTfnDKk___小百","","八九医院","A.三级综合医院","","急诊科","B.女","Z.1986年","B.已婚","","B.否","C.无","","D.护师","B.本科","A.学士学位","10","","B.3000-5000元","C.7000-9000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","D.比较方便","E.总是能","10","5","D.较多","B.否","B.否","A.是","E.非常重视","E.非常好","A.是","A.是","","B.缺乏实践","","","","","","","","","","B.在岗培训","","C.一般","","","","","E.非常融洽","E.非常融洽","D.比较尊重","E.非常好","8","5","8","D.比较多","C.一般","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","E.非常满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","1","4","2","7","1","2","7","2","6","1","2","7","1","2","2","1","7","7","4","1","7","2","B.工作2","A.工作1","B.工作2","A.工作1","B.工作2","A.工作1","D.大部分时候会","B.压力较小","B.不太想要","E.非常重要",
"11","2017-08-07 11:08:41","2017-08-07 11:17:34","","o86_0jijazdgEy1sPxV4KOejhPNg___晴雨","","八十九医院","A.三级综合医院","","手外一科","B.女","U.1991年","A.未婚","","B.否","C.无","","E.护士","A.大专及以下","A.学士学位","4","1","B.3000-5000元","D.9000元及以上","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","","","","","","C.一般","D.大部分时候能","","2","B.较少","B.否","A.是","B.否","D.比较重视","D.比较好","A.是","A.是","A.时间太短","","","","E.重点不突出","","","","","","","B.在岗培训","","C.一般","1","1","1","1","C.不确定","D.比较融洽","D.比较尊重","D.比较好","8","5","8","D.比较多","B.不满意","B.不满意","B.不满意","B.不满意","B.不满意","C.一般","B.不满意","D.比较满意","D.比较满意","D.比较满意","C.一般","C.一般","3","2","3","2","1","2","2","2","2","2","2","2","2","2","2","2","1","2","1","2","1","1","B.工作2","A.工作1","B.工作2","A.工作1","B.工作2","B.工作2","B.有时候会","C.一般","D.有些想要","C.一般",
"12","2017-08-07 11:04:49","2017-08-07 11:20:01","","o86_0jpLaqdBuckpbFqkulu_J4hI___记忆","","八九医院","A.三级综合医院","","关节一科","B.女","Z.1986年","B.已婚","","B.否","C.无","","D.护师","A.大专及以下","A.学士学位","10","","B.3000-5000元","B.5000-7000元","A.养老保险","B.医疗保险","C.工伤保险","D.失业保险","E.生育保险","F.住房补贴","","","","","D.比较方便","D.大部分时候能","8","8","D.较多","B.否","B.否","A.是","A.非常不重视","E.非常好","A.是","A.是","","","","","","","G.学非所用","H.没有书本与讲义","I.培训速度太快","","","C.进修","","C.一般","3","3","","","D.比较融洽","D.比较融洽","D.比较尊重","D.比较好","8","5","8","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","C.一般","C.一般","D.比较满意","D.比较满意","D.比较满意","D.比较满意","D.比较满意","2","3","3","2","2","2","1","2","1","1","1","3","1","2","2","2","3","2","2","2","4","2","B.工作2","B.工作2","B.工作2","A.工作1","B.工作2","B.工作2","B.有时候会","B.压力较小","B.不太想要","D.重要",
